1775  5
62	SP_COTIA	-0.411897703	-0.818733952	209027	220941	225306	229548	233696
63	SP_GUARUJÁ	-0.418704488	-0.807214779	294669	306683	308989	311230	313421
64	SP_GUARULHOS	-0.409454243	-0.812101701	1244518	1299249	1312197	1324781	1337087
65	SP_INDAIATUBA	-0.402996524	-0.82396994	209859	222042	226602	231033	235367
66	SP_ITAPETININGA	-0.411723171	-0.838630706	147219	153810	155436	157016	158561
67	SP_ITU	-0.405963584	-0.825366203	156983	163882	165511	167095	168643
68	SP_JAGUARIÚNA	-0.39618974	-0.819955683	46533	49497	50719	51907	53069
69	SP_JAÚ	-0.38903389	-0.847357352	133900	140077	141703	143283	144828
70	SP_JUNDIAÍ	-0.404567321	-0.818210353	377183	393920	397965	401896	405740
71	SP_LENÇÓIS_PAULISTA	-0.394269878	-0.851720675	62393	65026	65587	66131	66664
72	SP_LIMEIRA	-0.393746279	-0.827286065	280096	291748	294128	296440	298701
73	SP_MARÍLIA	-0.387637627	-0.871617428	219664	228618	230336	232006	233639
74	SP_MOGI_DAS_CRUZES	-0.390430154	-0.819257551	396468	414907	419839	424633	429321
75	SP_OSASCO	-0.410675973	-0.816639557	668877	691652	693271	694844	696382
76	SP_PAULÍNIA	-0.397236938	-0.822922742	86800	92668	95221	97702	100128
77	SP_PINDAMONHANGABA	-0.400029465	-0.793426678	150162	157062	158864	160614	162327
78	SP_PIRACICABA	-0.396538806	-0.831474856	369919	385287	388412	391449	394419
79	SP_PRAIA_GRANDE	-0.41887902	-0.809832773	272390	287967	293695	299261	304705
80	SP_presidente_PRUDENTE	-0.386066831	-0.89675017	210393	218960	220599	222192	223749
81	SP_RIBEIRÃO_PRETO	-0.369486203	-0.834441915	619746	649556	658059	666323	674405
82	SP_RIO_CLARO	-0.391128285	-0.830078592	188977	196821	198413	199961	201473
83	SP_SANTA_BÁRBARA_D'OESTE	-0.397062405	-0.827460598	181509	188302	189233	190139	191024
84	SP_SANTANA_DE_PARNAÍBA	-0.409105177	-0.818733952	113945	120998	123825	126574	129261
85	SP_SANTO_ANDRÉ	-0.412944901	-0.812101701	680496	704942	707613	710210	712749
86	SP_SANTOS	-0.418180889	-0.808611042	419614	433153	433565	433966	434359
87	SP_SÃO_BERNARDO_DO_CAMPO	-0.4134685	-0.8126253	774886	805895	811489	816925	822242
88	SP_SÃO_CAETANO_DO_SUL	-0.412246769	-0.812450767	150638	156362	157205	158024	158825
89	SP_SÃO_CARLOS	-0.384146968	-0.835838179	226322	236457	238958	241389	243765
90	SP_SÃO_JOSÉ_DO_RIO_PRETO	-0.36337755	-0.861669052	415769	434039	438354	442548	446649
91	SP_SÃO_JOSÉ_DOS_CAMPOS	-0.404392788	-0.800757061	643603	673255	681036	688597	695992
92	SP_SÃO_PAULO	-0.410850506	-0.81384703	11376685	11821873	11895893	11967825	12038175
93	SP_SÃO_VICENTE	-0.418180889	-0.80965824	336809	350465	353040	355542	357989
94	SP_SERTÃOZINHO	-0.368788071	-0.837583508	112401	117539	118864	120152	121412
95	SP_SOROCABA	-0.410152374	-0.82815873	600692	629231	637187	644919	652481
96	SP_SUMARÉ	-0.398284135	-0.824842604	246247	258556	262308	265955	269522
97	SP_SUZANO	-0.410850506	-0.808261977	267583	279520	282441	285280	288056
98	SP_TAUBATÉ	-0.401774794	-0.794997474	283899	296431	299423	302331	305174
99	SP_VALINHOS	-0.400902129	-0.820130216	110390	116308	118312	120258	122163
100	SP_VARGEM_GRANDE_PAULISTA	-0.411897703	-0.820653814	44555	47013	47879	48720	49542
101	SP_VINHEDO	-0.401949327	-0.81978115	66087	69845	71217	72550	73855
102	TO_PALMAS	-0.18675023	-0.853466004	242070	257904	265409	272726	279856
103	BA_TEIXEIRA_DE_FREITAS	-0.305956218	-0.693593845	143001	153385	155659	157804	159813
104	ES_CACHOEIRO_DE_ITAPEMIRIM	-0.363726616	-0.717504855	192156	205213	206973	208702	210325
105	ES_LINHARES	-0.338419342	-0.699353431	145639	157814	160765	163662	166491
106	ES_SERRA	-0.351160246	-0.703367689	422569	467318	476428	485376	494109
