2340
-0.445757091	-0.952600706	-0.442615498	-0.950855376	22.39228607
-0.445757091	-0.952600706	-0.442615498	-0.950855376	22.39228607
-0.496371639	-0.91106187	-0.493230047	-0.914552528	27.99383934
-0.496371639	-0.91106187	-0.493230047	-0.914552528	27.99383934
-0.496371639	-0.91106187	-0.493230047	-0.914552528	27.99383934
-0.524122374	-0.894132176	-0.522726111	-0.891688715	16.1531273
-0.524122374	-0.894132176	-0.522027979	-0.893259511	14.18602016
-0.524122374	-0.894132176	-0.522027979	-0.893259511	14.18602016
-0.524122374	-0.894132176	-0.522027979	-0.893259511	14.18602016
-0.524122374	-0.894132176	-0.522027979	-0.893259511	14.18602016
-0.524122374	-0.894132176	-0.524995039	-0.890466984	20.96202944
-0.524122374	-0.894132176	-0.522726111	-0.891688715	16.1531273
-0.524122374	-0.894132176	-0.522726111	-0.891688715	16.1531273
-0.524122374	-0.894132176	-0.522027979	-0.893259511	14.18602016
-0.524122374	-0.894132176	-0.524995039	-0.890466984	20.96202944
-0.524122374	-0.894132176	-0.522027979	-0.893259511	14.18602016
-0.524122374	-0.894132176	-0.522027979	-0.893259511	14.18602016
-0.524122374	-0.894132176	-0.522726111	-0.891688715	16.1531273
-0.524122374	-0.894132176	-0.524995039	-0.890466984	20.96202944
-0.524122374	-0.894132176	-0.522726111	-0.891688715	16.1531273
-0.524122374	-0.894132176	-0.522027979	-0.893259511	14.18602016
-0.524122374	-0.894132176	-0.522027979	-0.893259511	14.18602016
-0.406836249	-0.892910445	-0.411025039	-0.898146433	40.60823657
-0.406836249	-0.892910445	-0.408581578	-0.897448301	28.77608572
-0.406836249	-0.892910445	-0.407883446	-0.887325392	33.34492
-0.406836249	-0.892910445	-0.405963584	-0.89081605	13.45861364
-0.406836249	-0.892910445	-0.411025039	-0.898146433	40.60823657
-0.406836249	-0.892910445	-0.408581578	-0.897448301	28.77608572
-0.406836249	-0.892910445	-0.407883446	-0.887325392	33.34492
-0.406836249	-0.892910445	-0.405963584	-0.89081605	13.45861364
-0.363203017	-0.864287046	-0.36337755	-0.861669052	15.63023186
-0.363203017	-0.864287046	-0.36337755	-0.861669052	15.63023186
-0.363203017	-0.864287046	-0.36337755	-0.861669052	15.63023186
-0.36337755	-0.861669052	-0.364948347	-0.862890782	12.37135815
-0.36337755	-0.861669052	-0.362853951	-0.859051058	15.94452381
-0.36337755	-0.861669052	-0.363203017	-0.864287046	15.63023186
-0.36337755	-0.861669052	-0.362853951	-0.859051058	15.94452381
-0.36337755	-0.861669052	-0.363203017	-0.864287046	15.63023186
-0.36337755	-0.861669052	-0.364948347	-0.862890782	12.37135815
